Year,Year,World_Production_quad Btu,World_product_Coal_quad Btu,World_product_Natural gas_quad Btu,World_product_Petroleum and other liquids_quad Btu,"        World_product_Nuclear, renewables_quad Btu",World_product_Nuclear_quad Btu,World_product_Renewables_quad Btu,    World_Consumption_quad Btu,World_consume_Coal _quad Btu,World_consume_Natural gas_quad Btu,World_consume_Petroleum_quad Btu,"World_consume_Nuclear, renewables_quad Btu",World_consume_Nuclear _quad Btu,World_consume_Renewables_quad Btu,    Africa_Production _quad Btu,Africa_Coal_quad Btu,Africa_Naturalgas_quad Btu,       Africa_Petroleum_quad Btu,"Africa_Nuclear,_renewables_quad Btu",Africa_Nuclear_quad Btu,Africa_Renewables_quad Btu,Africa_Consumption_quad Btu,Africa_consume_Coal_quad Btu,Africa_consume_NaturaGAS_quad Btu,Africa_consume_Petroleum_quad Btu,Africa_consume_Nuclear_renewables_quad Btu,Africa_consume_Nuclear_quad Btu,Africa_consume_Renewables _quad Btu,    Eurasia_Production_quad Btu,        Eurasia_prod_Coal_quad Btu,Eurasia_prod_NaturalGAS_quad Btu,Euroasia_prod_Petroleum_quad Btu,Euroasia_product_Nuclear_renewables_quad Btu,Eurasia_product_Nuclear_quadBtu,Eurasia_prod_RenewablesquadBTU,Eurasia_Consumption_quadBTU,Eurasia_consume_Coal_QuadBTU,Eurasia_consume_NaturalGAS_quadBTU,Eurasia_consume_Petroleum_QuadBTU,Eurasia_consume_Nuclear_renewables_QuadBTU,Eurasia_consume_Nuclear_QuadBtu,         Eurasia_consume_Renewables_QuadBTU,    Asia_Production_QuadBTU,Asia_prod_Coal_QuadBTU,Asia_prod_NaturalGAS_QuadBTU,Asia_prod_PetroleumQuadBTU,Asia_prod_Nuclear_renewables_QuadBTU,Asia_prod_Nuclea _quadBTU,Asia_prod_quadBTU,    Asia_Consumption_quad_BTU,Asia_consume_Coal_quad Btu,Asia_consume_NaturalGAS_quadBtu,Asia_consume_Petroleum_QuadBTU,Asia_consume_Nuclear_renewables_quadBTU,Asia_consume_Nuclear_quad Btu,    Asia_consume_Renewables_quadBTU,    Europe_Production_QuadBTU,Europe_Coal_QuadBTU,Europe_Natural gas_quadBtu,Europe_Petroleum_product_QUADBTU,Europe_Nuclear_renewables_production_quadBTU,Europe_Nuclear_quadBtu,Europe_Renewables_prod_quadBTU,Europe_Consumption_quad Btu,Europe_consume_Coal_quad Btu,    Europe_consume_Natural gas (quad Btu),Europe_consume_Petroleum_quadBTU,Europe_consume_Nuclear_renewables_quadBTU,Europe_consume_Nuclear_quad Btu,            Europe_consume_Renewables_quadBTU,    ME_Production_quad Btu,ME_product_Coal_quad Btu,ME_product_NaturalGAS_quadBTU ,ME_product_Petroleum_quadBTU,ME_product_Nuclear_renewables_quadBTU,ME_product_Nuclear (quad Btu),ME_product_Renewables_quadBTU,ME_Consumption_quadBTU,  ME_consume_Coal_quadBTU,ME_consume_NaturalGAS_quadBTU,ME_consume_Petroleum_quad_BTU,ME_consume_Nuclear_renewables_quadBTU,ME_consume_Nuclear_quad Btu,ME_consume_Renewables_quad Btu,    NA_Production_quadBtu,NA_product_Coal_quadBtu,NA_product_NaturalGAS_quadBTU,NA_product_Petroleum_quadBtu,NA_product_Nuclear_renewables_quadBTU,NA_product_Nuclear_quadBtu,  NA_product_Renewables_quadBTU,NA_Consumption (quad Btu),NA_consume_Coal_quadBtu,NA_consume_NaturalGAS_quadBtu,NA_consume_Petroleum_quadBtu,NA_consume_Nuclear_renewables_quadBTU,NA_consume_Nuclear_quadBtu,NA_consume_Renewables_quadBTU,LA_Production_quadBtu,LA_prod_Coal_quadBtu,LA_prod_NaturalGAS_quadBTU,LA_prod_Petroleum_quadBTU,LA_prod_Nuclear_renewables_quadBTU,LA_prod_Nuclear_quadBTU,LA_prod_Renewables_QuadBTU,LA_Consumption_quadBtu,LA_consume_Coal_quadBtu,LA_consume_NaturalGAS_quadBtu,LA_consume_Petroleum_QuadBTU,LA_consume_Nuclear_renewables_quadBTU,LA_consume_Nuclear_quadBtu,LA_Consume_Renewables_quadBtu,World_GDP_USDB,Africa_GPD_USDB,Eurasia_GDP_USDB,Europe_GDP_USDB,Asia_GPD_USDB,ME_GDP_USDB,LatinAmerica_USDB,NorthAmerica_USDB,        World_pop,Africa_pop,Eurasia_pop,Europe_pop,Asia_pop,ME_pop,LatinAmerica_pop,NorthAmerica_pop,World_GDP_USDB,Africa_GPD_USDB,Eurasia_GDP_USDB,Europe_GDP_USDB,Asia_GPD_USDB,ME_GDP_USDB,LatinAmerica_USDB,NorthAmerica_USDB,Fossil fuel_plus_landuse_emissions_GtCO2,Land_use_emissions_GtCO2,Fossil_fuel_industry_emissions_GtCO2,World_1000BTU_GDPBUSD,Africa_1000BTU_GDPBUSD,Eurasia_1000BTU_GDPBUSD,Europe_1000BTU_GDPBUSD,Asia_1000BTU_GDPBUSD,ME_1000BTU_GDPBUSD,LatinAmerica_1000BTU_GDPBUSD,NorthAmerica_1000BTU_GDPBUSD,    World_MMBtu_person,Africa_MMBtu_person,Eurasia_MMBtu_person,Europe_MMBtu_person,Asia_MMBtu_person,ME_MMBtu_person,LA_MMBtu_person,NA_MMBtu_person
1980,1980,296.33722758863600,80.11419429217280,54.761045594,133.11110886607900,28.350878836384000,7.575700462108060,20.775178374275900,292.8999360117120,78.65628042083660,53.865223303,132.06401937163100,28.314412916244200,7.575700462108060,20.73871245413620,17.18617959737470,2.644092988168640,0.7760949,13.139404792206600,0.62658691699947,,0.62658691699947,6.64092833010905,2.106965290643910,0.8338102,3.071977950836880,0.6281748886282630,,0.6281748886282630,61.50664227438760,17.152564542977500,15.9848,25.62498691407030,2.7442908173397800,0.8326385118975340,1.91165230544225,51.569984213723700,15.909849165363200,13.86112,19.117842819020700,2.6811722293397800,0.8326385118975340,1.84853371744225,37.32552934549710,20.250933130835100,2.698593,10.60435703303700,3.771646181625060,0.991750018,2.779896163625060,51.01922877871870,21.19214154849020,2.770283,23.343826157297700,3.7129780729308300,0.991750018,2.721228054930830,42.90809744778690,20.38134025494640,8.7765396,6.27792065712166,7.472296935718750,2.5703332272105200,4.90196370850823,75.36730199542520,22.72084680719370,10.642745,34.35234728908240,7.65136289914916,2.5703332272105200,5.081029671938640,42.26412678564820,0.025125988166988400,1.491693,40.647385593834700,0.09992220364651,,0.09992220364651,5.876938414665710,0.049958695467353200,1.37322,4.353612996899400,0.10014672229896100,,0.10014672229896100,83.0129034466475,19.43952593293110,23.663903094,28.522507276804600,11.38696714291180,3.155089647,8.23187749591178,91.3892259848881,16.296954710599200,22.994214103,40.7534191873401,11.344637983948800,3.155089647,8.189548336948800,12.13374869129430,0.22061145414713200,1.369422,8.294546599004570,2.249168638142630,0.025889058,2.223279580142630,11.036328294181100,0.3795642030790720,1.389831,7.070992971153630,2.195940119948440,0.025889058,2.170051061948440,27745.479547,427.71007,,10129.3591,6111.362827,195.733,2119.62569,8761.68886,4298126.5224,471767.6423,118915.49,517308.861,2483722.811,93152.007,293607.8321,319651.879,27745.479547,427.71007,,10129.3591,6111.362827,195.733,2119.62569,8761.68886,23636499800,4143886286,19492613520,10.55667232262280,15.526705579106500,0,7.44048080943494,8.348257209229310,30.025281453131100,5.206734541031690,10.430549115035400,68.1459548678342,14.076693131671000,433.66918989043100,145.69110965881000,20.541434234433500,63.08976697266130,37.5886713077268,285.9023581240640
1981,1981,291.2877731828770,80.46072857252330,55.573536747,125.4389494908980,29.814558372455300,8.527153469041350,21.287404903413900,289.40151331082500,78.96407276869910,53.895423471,126.81113213677000,29.7308849343559,8.527153469041350,21.20373146531460,14.9119904907362,2.9142580816860500,1.1907469,10.254687023714500,0.552298485335654,,0.552298485335654,6.820237997359490,2.2961009870230900,0.6880669,3.281094651578890,0.5549754587575190,,0.5549754587575190,61.833941125297000,16.865091394212300,16.41357,25.887017520056800,2.6682622110278600,0.7345298973462020,1.93373231368166,50.9505108093284,14.988228326286800,14.42556,18.938433568013800,2.5982889150278600,0.7345298973462020,1.86375901768166,38.28144274478110,20.834412890867800,2.8686784,10.541089631995600,4.037261821917660,1.060080473,2.977181348917660,51.73157703625490,21.81266873986820,2.9027794,23.031163589671600,3.9849653067151200,1.060080473,2.9248848337151200,43.82725364944620,20.297834433730400,8.6409309,6.639482341454520,8.249005974261290,3.2556379816951500,4.99336799256614,73.0291277372358,22.652892577716900,10.513927,31.494243962604500,8.36806419691435,3.2556379816951500,5.112426215219200,36.48505028974980,0.025209710451383900,1.5200896,34.8318968982653,0.10785408103316,,0.10785408103316,6.150960348449280,0.041720134221089700,1.3614976,4.63966401454258,0.10807859968561100,,0.10807859968561100,83.61360018480820,19.28954880250830,23.421552047,29.008904899802900,11.89359443549690,3.445754742,8.44783969349692,89.70052495795300,16.785687826708700,22.522258671,38.50969216834630,11.882886291898000,3.445754742,8.437131549897970,12.334494698058200,0.2343732590670110,1.5179689,8.275871175608420,2.306281363382730,0.031150375,2.275130988382730,11.018574424243900,0.38677417687430100,1.4813339,6.916840182012150,2.2336261653574700,0.031150375,2.2024757903574700,28640.195158,727.77114,,10192.85489,6427.168568,201.377,2041.43,9049.59356,4377059.5593,485077.7697,120249.94,520221.16,2530857.62,96778.473,299975.336,323899.2606,28640.195158,727.77114,,10192.85489,6427.168568,201.377,2041.43,9049.59356,23341806580,4314896401,19026910180,10.104732586991000,9.371404858620110,0,7.164737311122050,8.048890656737940,30.544502840191700,5.397478446110780,9.91210537392941,66.11779195371680,14.060091852029300,423.7050830073460,140.38092517658400,20.440334781162000,63.55711304154680,36.731601241523200,276.9395792747080
1982,1982,290.1205665759990,83.39892921243350,55.495522664,119.76280547269800,31.46330922686750,9.50768642751678,21.95562279935070,289.69127227568300,80.42250151969820,54.055255448,123.92428288938300,31.289232418601200,9.50768642751678,21.781545991084400,15.32810179547530,3.154886088812240,1.4265492,10.202049651759600,0.544616854903522,,0.544616854903522,7.395431954743420,2.4642629066300200,0.9340252,3.4508721395659100,0.5462717085474810,,0.5462717085474810,63.86297681578090,17.20047673443820,17.66232,26.042514437664800,2.957665643677890,1.1234059912980900,1.8342596523798,52.64340399069190,15.016143822164900,15.506478,19.23517455284910,2.885607615677890,1.1234059912980900,1.7622016243798,39.4728840647875,22.08794319676160,2.9191318,10.175703272000000,4.290105796025890,1.207132017,3.082973779025890,52.84510515321380,23.192495792403400,2.9573978,22.482535888097600,4.21267567271278,1.207132017,3.0055436557127800,45.268814540216500,21.0509006207902,8.253435,7.409405745097090,8.555073174329230,3.605541050218690,4.94953212411054,72.63291459183010,23.006503299696700,10.5546874,30.397381762000000,8.67434213013343,3.605541050218690,5.068801079914740,29.69430288845870,0.028358454947833700,1.438992,28.116599960636600,0.11035247287428,,0.11035247287428,6.422753191635460,0.07855869323557560,1.272069,4.961576571704710,0.11054892669517400,,0.11054892669517400,84.27910923105870,19.62422540866190,22.203993764,29.981189538445500,12.46970051995140,3.550407629,8.91929289095137,86.54414910606620,16.28128474109700,21.250015148,36.57027199782170,12.442577219147600,3.550407629,8.892169590147560,12.214377240221400,0.25213870802163600,1.5911009,7.835342867094460,2.535794765105310,0.02119974,2.514595025105310,11.20751428750190,0.38325226447066400,1.5805829,6.826469977344380,2.417209145686890,0.02119974,2.3960094056868900,28776.469487,708.7151,,10289.67439,6682.780207,184.625,2020.5349,8890.13989,4456829.97443,498920.72833,121501.32,522753.277,2578522.696,100635.591,306454.7799,328041.5822,28776.469487,708.7151,,10289.67439,6682.780207,184.625,2020.5349,8890.13989,23109445670,4233685392,18875760280,10.066949748875700,10.434985729446700,0,7.058815647501760,7.907652730799110,34.78810124108580,5.546805594648200,9.734846715226010,64.99939955926460,14.822859694560300,433.2743380128860,138.94301152669800,20.494333920423200,63.82188575446900,36.57151078263190,263.82066726315800
1983,1983,293.0466469371520,83.68635266676540,56.115951591,119.26919636785000,33.97514631153710,10.718344095623600,23.25680221591350,293.7314691613170,82.63101739438100,55.149772666,122.21533499685700,33.735344104079200,10.718344095623600,23.017000008455600,16.00365246053730,3.3085140955186400,1.9421904,10.222937909882600,0.53001005513604,,0.53001005513604,7.807165726301940,2.5988285686516800,1.1413784,3.535079425922100,0.5318793317281650,,0.5318793317281650,65.40147273071770,17.152564542977500,18.908073,26.193633634017900,3.1472015537223000,1.2516415543371000,1.8955599993852,53.80084788971950,14.956392951038200,16.805178,18.970227244958900,3.0690496937223000,1.2516415543371000,1.8174081393852,42.3858286710081,23.58142608509060,3.2417968,10.8038096542597,4.75879613165784,1.445188175,3.31360795665784,54.63811819074110,24.446783327196400,3.2240788,22.29841530034030,4.668840763204440,1.445188175,3.2236525882044400,47.266558359064600,21.05325963400200,8.5042946,8.346887442220210,9.362116682842300,4.243401947286500,5.1187147355558,73.01811786695960,23.193847794531300,10.7873499,29.54744197524680,9.48947819718162,4.243401947286500,5.246076249895120,27.561034591410100,0.028665823187582900,1.5890686,25.83746878513050,0.105831383092,,0.105831383092,7.19653393833859,0.09489241227922330,1.4969326,5.498737218809580,0.1059717072497820,,0.1059717072497820,81.93751809692630,18.29320197765450,20.286013291,30.102969867922400,13.2553329603494,3.738192559,9.5171404013494,86.11805553717620,16.91560356893500,20.115236066,35.86960576825820,13.217610133983100,3.738192559,9.479417574983120,12.490582027488500,0.26872050833450700,1.6445149,7.761489074416750,2.8158575447372,0.03991986,2.7759376847372,11.152630012080300,0.42466877174925400,1.5796189,6.495828063321210,2.652514277009790,0.03991986,2.612594417009790,29593.026262,675.01307,,10501.5817,7052.431612,179.814,1986.2175,9197.96838,4537793.89383,513261.64803,122872.61,525025.636,2626899.203,104667.404,313001.709,332065.6838,29593.026262,675.01307,,10501.5817,7052.431612,179.814,1986.2175,9197.96838,23659221220,4661189660,18998031560,9.925698931930250,11.565947495360300,0,6.953059067945890,7.747415529385930,40.022100272162300,5.615009439842440,9.362725765010320,64.73001551716600,15.210888552198300,437.858753791585,139.07533815541100,20.799472674224700,68.75620931936550,35.63121124070370,259.3404249173920
1984,1984,308.92101366220800,87.66942309140780,61.758597532,122.55382660122000,36.939166437580200,12.994607878980200,23.9445585586,307.2346122721330,86.35626815849290,60.842896415,123.41709237538800,36.618355323252400,12.994607878980200,23.623747444272300,17.430642079989400,3.6956332528401000,2.071354,11.149524484749300,0.5141303424,0.0404589,0.4736714424,8.198115360525740,2.763172415714950,1.245614,3.6721757582006300,0.5171531866101570,0.0404589,0.4766942866101570,68.25201143652310,17.056740160055800,21.407808,26.041707887228500,3.745755389238740,1.6248171892387400,2.1209382,56.52287145735580,14.816756030925800,19.104384,18.937185049191300,3.664546377238740,1.6248171892387400,2.039729188,46.318988057160700,25.69237839264030,3.7894886,11.758629077520400,5.078491987,1.766680735,3.311811252,58.50933974051610,26.824495823813600,3.8290286,22.884483354120300,4.9713319625821300,1.766680735,3.204651227582130,47.881391849399600,19.829260030691700,8.5935578,8.927658968966520,10.530915049741400,5.361705649741420,5.1692094,74.12532656952010,23.167301951946200,11.3387088,28.938634966136600,10.680680851437300,5.361705649741420,5.318975201695910,27.675984201810600,0.029001060334397900,2.101691,25.433135221476200,0.11215692,,0.11215692,7.810526159314020,0.10772149787158100,1.99385,5.596713546947770,0.11224111449466900,,0.11224111449466900,87.83867410662340,21.041130276255100,21.912380632,31.084721354368300,13.800441844,4.122263151,9.678178693,90.3273970691946,18.17746948337680,21.446965515,36.94411443200180,13.758847638815900,4.122263151,9.636584487815930,13.523321930700900,0.3252799185903850,1.8823175,8.158449606910530,3.1572749052,0.078682254,3.0785926512,11.741035915707100,0.4993509548439700,1.8843455,6.443785268789660,2.9135541920734600,0.078682254,2.8348719380734600,31072.376121,692.24938,,10801.1362,7503.993671,187.833,2072.6709,9814.49297,4572800.78237,528052.09797,124274.29,479644.076,2676460.545,108795.41,319571.138,336003.2254,31072.376121,692.24938,,10801.1362,7503.993671,187.833,2072.6709,9814.49297,24829593940,5172877065,19656716870,9.88770897583502,11.842719686546700,0,6.862734178791310,7.79709342861412,41.582289370419500,5.664688936245060,9.203470555768770,67.18740371473150,15.525201759527000,454.8235315394340,154.54235813290900,21.860714461051800,71.79095293922800,36.73997592269140,268.8289582984300
1985,1985,316.46426154850100,91.67976259540720,64.124522824,121.1347896143830,39.52518651471180,15.298615144911800,24.2265713698,315.42743540651700,89.40956303455620,63.371661785,123.47159748556300,39.17461310139770,15.298615144911800,23.875997956485900,18.261293650659400,3.938452159723170,2.127805,11.647692350736300,0.5473441402,0.05478702,0.4925571202,8.415656049283180,2.852839738749590,1.207994,3.803279765929800,0.5515425446037970,0.05478702,0.49675552460379700,70.31066975009020,17.3921255002814,23.433624,25.39333236244880,4.091587887359960,1.9494723253599600,2.142115562,58.531542814866700,14.616325870547800,20.951664,18.970227244958900,3.9933256993599600,1.9494723253599600,2.043853374,50.05235915082240,27.811161899548600,4.2195964,12.414222981773800,5.6073778695,2.10054458,3.5068332895,60.5589919885006,28.196328872495900,4.2702824,22.602536107927300,5.4898446080773600,2.10054458,3.3893000280773600,50.90854521069630,21.40162739691890,8.7822318,9.23096127122567,11.493724742551800,6.3646969635518100,5.129027779,76.58899435379070,24.50324928545970,11.668582,28.746907017174200,11.670256051156900,6.3646969635518100,5.305559087605060,25.776495708204000,0.030900937108679300,2.496819,23.136345157095400,0.112430614,,0.112430614,8.625627668485470,0.11326075176029300,2.38479,6.0150901730620600,0.11248674366311300,,0.11248674366311300,87.30019695150950,20.722893391414400,21.126067424,31.184636656095100,14.26659948,4.73501015,9.53158933,90.69384071023450,18.552974999075500,20.947942185,36.980384393359000,14.21253913279990,4.73501015,9.477528982799910,13.85470112651970,0.3826013104120720,1.9383792,8.127598835007580,3.4061217811,0.094104106,3.3120176751,12.012781821355600,0.5745835164673570,1.9404072,6.353172783151610,3.1446183217366800,0.094104106,3.0505142157366800,32263.46108,704.59605,,11095.3766,7923.95854,183.2,2149.5103,10206.81959,4657357.404,543246.066,125711.35,481658.855,2727699.048,112955.918,326124.61,339961.557,32263.46108,704.59605,,11095.3766,7923.95854,183.2,2149.5103,10206.81959,25218864840,4901381317,20317483520,9.776614933667150,11.943944405142800,0,6.902784566482470,7.64251752237217,47.08312046116520,5.588613286177620,8.885612203735880,67.72669736181510,15.491425665074500,465.60269072654700,159.0108716132520,22.201493244976400,76.36277780935270,36.83494422992380,266.7767541441000
1986,1986,326.7530652183030,94.04460314569840,65.3286482,126.54884517346600,40.830968699138800,16.247905140338800,24.5830635588,322.18517006014400,90.43265631556590,64.224390643,127.00641121864300,40.52171188293600,16.247905140338800,24.273806742597200,18.304938807048000,4.022261507979260,2.1453628,11.525036803268800,0.6122776958,0.090741324,0.5215363718,8.570867296083250,2.881061508853120,1.2845768,3.78653599739875,0.6186929898313750,0.090741324,0.5279516658313750,72.98506044263600,17.991027893542100,24.82407,26.19515443402120,3.9748081150726700,1.7448273730726700,2.229980742,59.8009686864251,14.817633894352400,22.081572,19.025336285,3.8764265070726700,1.7448273730726700,2.131599134,52.27214589077120,28.925998251731500,4.5378524,12.86645923903980,5.941836,2.292635583,3.649200417,62.57510506405750,29.062915677371200,4.5484839,23.147184758314400,5.816520728371900,2.292635583,3.5238851453719000,51.915646474839000,21.8056896561309,8.7150063,9.535800252441990,11.859150266266100,6.898282190266100,4.960868076,78.29216355163340,24.66931047499780,12.010346,29.5684862875338,12.044020789101800,6.898282190266100,5.145738598835740,30.76429409614160,0.035283940879030700,2.7622646,27.861052927262600,0.105692628,,0.105692628,9.165472951882000,0.11985310850449700,2.6512826,6.289298950545950,0.10503829283155600,,0.10503829283155600,85.8501767080232,20.83577473190010,20.3740549,29.897788970123100,14.742558106,5.156649817,9.585908289,91.0206072566593,18.277801955856800,19.676064143,38.37811848974410,14.688622668058400,5.156649817,9.531972851058400,14.660802798843700,0.42856716353552000,1.9700372,8.66755254730815,3.594645888,0.064768853,3.529877035,12.759985253403900,0.6040796956300070,1.9720652,6.8114504501056600,3.372389907668230,0.064768853,3.307621054668230,33399.412574,710.35679,,11409.9895,8338.677414,144.35,2317.427,10478.61187,4745135.92538,558823.94498,127092.63,483886.434,2781467.58,117174.371,332668.365,344022.6004,33399.412574,710.35679,,11409.9895,8338.677414,144.35,2317.427,10478.61187,25447847390,4828223730,20619623660,9.646432234288810,12.065580869696800,0,6.861720911455130,7.504200241515360,63.49479010656040,5.506100193621590,8.686322996393160,67.89798545851840,15.337330071620300,470.5305782595350,161.7986330065900,22.497154205211900,78.22079925551290,38.356473280541400,264.5774061088670
1987,1987,334.3845057886130,96.27315618601720,68.456090111,127.41624158977100,42.23901790182450,17.643888337124500,24.5951295647,332.74655318366600,94.05082968532110,67.561969979,129.26577065229100,41.86798286705420,17.643888337124500,24.224094529929700,18.482336185001500,4.046426768191020,2.4083794,11.453097676810500,0.57443234,0.063569436,0.510862904,8.87987826951261,3.08176151623718,1.3931954,3.8242031840583,0.5807181692171290,0.063569436,0.5171487332171290,75.03424507339260,18.206632755115800,26.017308,26.513393055026400,4.296911263250370,2.0311330092503700,2.265778254,61.83636661759920,15.540374463348800,23.046012,19.068623095,4.181357059250370,2.0311330092503700,2.15022405,54.35172138883750,30.34183912883750,4.8061204,12.84436372200000,6.359398138,2.780534152,3.578863986,65.7078059217214,30.662490797059500,4.8769664,23.94339951874400,6.224949205917850,2.780534152,3.4444150539178500,52.51574350200530,21.58808507636920,8.9351567,9.601914100761910,12.390587624874200,7.090963274874170,5.29962435,79.7614991839851,24.870690032777300,12.56747,29.787972656895700,12.53536649431210,7.090963274874170,5.444403219437940,32.21006856071580,0.030878049165424200,3.1767599,28.89403133555040,0.108399276,,0.108399276,9.747553868790500,0.1244174250132580,3.0699659,6.44530959494569,0.10786094883155600,,0.10786094883155600,87.21559871512720,21.56792520526060,21.229162011,29.678740111866600,14.739771387,5.595789731,9.143981656,93.86637304513130,19.143534228796200,20.722023879,39.30597175786160,14.6948431794736,5.595789731,9.0990534484736,14.57479236353330,0.4913692030775940,1.8832037,8.430701587755720,3.7695178727,0.081898734,3.6876191387,12.947076276926300,0.6275612220888630,1.8863364,6.890290844785840,3.542887810051630,0.081898734,3.460989076051630,34765.566455,731.22553,,11766.9421,8894.983895,149.518,2394.869,10828.02793,4835605.8458,574791.999,128498.53,486156.906,2837401.442,121399.257,339224.928,348132.7838,34765.566455,731.22553,,11766.9421,8894.983895,149.518,2394.869,10828.02793,25896265530,4630070998,21266194530,9.571152928411750,12.143829646528600,0,6.778438995122200,7.387062944392370,65.19317987660690,5.406173062879990,8.668833664998810,68.81176088259460,15.44885503792930,481.2223658714160,164.0653422785790,23.15774037085350,80.29335689254260,38.1666416830261,269.62807702436000
1988,1988,347.41286310379400,98.484482307848,71.852937709,132.48530315454300,44.590139932402900,19.226897009802900,25.3632429226,345.56128730345200,96.87358867314150,71.010048252,133.44581391475300,44.23183646355770,19.226897009802900,25.00493945375470,19.569091095149700,4.150609114615130,2.5666782,12.209707879334500,0.6420959012,0.108161844,0.5339340572,9.203758457420800,3.107637792826200,1.4721712,3.97458630722628,0.6493631573683160,0.108161844,0.5412013133683160,77.68070556071630,18.470149808150400,27.898992,26.62343114476230,4.68813260780356,2.3289747198035600,2.359157888,63.691134748121400,15.600894508317800,24.718392,18.81193518,4.559913059803560,2.3289747198035600,2.23093834,56.49844412357900,31.6009983459465,5.1764046,13.132214723632500,6.588826454,2.608583762,3.980242692,70.48988518039140,32.87821537873140,5.3023796,25.838927122637500,6.470363079022440,2.608583762,3.861779317022440,52.68455650047060,21.305449496348900,8.5417031,9.503266506122390,13.334137397999300,7.630881049999350,5.703256348,80.46620539973580,24.480662076288700,12.292733,30.236276301662000,13.456534021785200,7.630881049999350,5.825652971785830,36.09422279956490,0.029621544470021400,3.4690726,32.4870440630949,0.108484592,,0.108484592,10.339635360831900,0.12482210495424000,3.4355686,6.670750872137420,0.10849378374027400,,0.10849378374027400,89.422647625076,22.350130482647100,22.187225009,29.516902018428900,15.368390115,6.489901049,8.878489066,98.05914292394280,20.059308220773300,21.771835652,40.87178415654690,15.356214894622600,6.489901049,8.866313845622610,15.463195399237200,0.5775235156700180,2.0128622,9.012736819167200,3.8600728644,0.060394585,3.7996782794,13.311525233007500,0.6220485912498170,2.0169682,7.0415539745424600,3.6309544672152700,0.060394585,3.570559882215270,42077.319512,2198.057958,792.8652,12372.59912,10449.596321,1655.6216,3352.938083,11255.64123,4927545.0842,591115.233,129864.36,488672.722,2894064.464,125596.605,345891.0674,352340.6328,42077.319512,2198.057958,792.8652,12372.59912,10449.596321,1655.6216,3352.938083,11255.64123,26605398020,4503998531,22101399490,8.212530914781810,4.187222827279420,80.330344613588,6.503581391371860,6.745704141578330,6.245168195940390,3.970107679738970,8.7119996915487,70.12848820226560,15.570159494470000,490.44352698555100,164.66277280714600,24.356708724782400,82.32416282933710,38.484732586672000,278.3077902332210
1989,1989,354.00812437426200,99.69778782084640,74.275334695,134.51224497683800,45.52275688157780,19.73998079757780,25.782776084,351.3532985257900,96.91290326825870,74.229726266,135.03680047363900,45.17386851789250,19.73998079757780,25.433887720314700,20.464633110213,4.037363253053070,2.7355391,13.025426889959900,0.6663038672,0.114408492,0.5518953752,9.407852267137520,3.1164038895277000,1.5004221,4.11675451278785,0.6742717648219750,0.114408492,0.5598632728219750,77.11958240506350,17.751466936237700,28.841886,25.78667496444250,4.739554504383370,2.4338321363833700,2.305722368,63.59230573925690,15.579309328873600,25.166754,18.23259753,4.613644880383370,2.4338321363833700,2.179812744,59.15712626246730,33.33457075111610,5.3803336,13.528829857351200,6.913392054,2.649124278,4.264267776,72.65822429048120,32.91463454076970,5.5854336,27.367032127522000,6.79112402218959,2.649124278,4.14199974418959,51.753440610440600,20.885139837349500,8.6089341,9.210364756296710,13.049001916794400,7.998100835194410,5.0509010816,80.58009616110990,24.266242919301,12.929658,30.211773102937000,13.172422138871900,7.998100835194410,5.174321303677510,39.69894801417200,0.030238123715514200,3.8692772,35.690042738456500,0.109389952,,0.109389952,10.862177189512900,0.11999430114232600,3.7541072,6.87855893772163,0.10951675064899100,,0.10951675064899100,89.73996016675730,22.978913536733700,22.535752995,28.179690959023600,16.045602676,6.472465019,9.573137657,100.51261930073900,20.25838907849880,22.987633666,41.238675268059000,16.02792128818100,6.472465019,9.555456269180970,16.074433805148500,0.6800953826408270,2.3036117,9.091214811307690,3.9995119112,0.072050037,3.9274618742,13.740023577552600,0.6579292101456500,2.3057177,6.991408994611300,3.7849676727956400,0.072050037,3.7129176357956400,44046.9064439,2267.4568249,774.2145,13256.55413,11037.823489,1685.5235,3363.38911,11661.94489,5056794.37357,607746.40397,131127.23,529293.869,2949722.021,129730.457,352448.4892,356725.9034,44046.9064439,2267.4568249,774.2145,13256.55413,11037.823489,1685.5235,3363.38911,11661.94489,26760547540,4353715023,22406832520,7.976798528933880,4.149076694129530,82.13783872461310,6.078509948430310,6.582658652123810,6.444393797839630,4.085172166580690,8.618855623895750,69.48142885978990,15.479897874643600,484.9664386203910,152.2407510847440,24.63222763813150,83.72881311528060,38.98448709126310,281.7642855277400
